,start_date,source_url,source_title,source_full_text
24,2020-04-22,http://news.ontario.ca/ene/en/2020/04/ontario-marks-the-50th-anniversary-of-earth-day.html,Ontario Marks the 50th Anniversary of Earth Day,"
Ontario Marks the 50th Anniversary of Earth Day
An opportunity to increase awareness and appreciation of earth’s natural environment

April 22, 2020  9:00 A.M.

Ministry of the Environment, Conservation and Parks


TORONTO — Today, Jeff Yurek, Minister of Environment, Conservation and Parks released the following statement on the 50th anniversary of Earth Day.
""Today is the 50th anniversary of Earth Day, the day that we as global citizens come together to increase awareness and appreciation of Earth's natural environment. It's a chance to reflect on the importance of the environment to our own health and wellbeing, and what we must do to protect it for future generations. As we continue to fight the spread of COVID-19, we are seeing, first hand, how our personal contributions make a difference. Now, more than ever, true meaningful action begins at home.  I've been so inspired by what I've seen online these past few weeks. I've seen gardeners re-growing their own produce from vegetable stalks and making seed pods using old toilet paper rolls, people sewing masks from used textiles and children creating homemade ""thank you"" signs to show appreciation to frontline waste collection workers.  I've also been encouraged by all the organizations like the Toronto Zoo and Earth Rangers stepping it up to offer free daily educational activities virtually that help growing minds stay connected with nature and wildlife, while practicing physical distancing.  Our government continues to take action to support a healthy and clean environment through actions committed to in our Made-in-Ontario Environment Plan. Through our plan, we will continue to protect our land, air, and water, address litter and reduce waste, and fight climate change.   So today, on Earth Day, I want to thank you all for your incredible contributions and I look forward to engaging with you as we work together to make our communities and our province a cleaner, healthier place to live, work and grow.""

Additional Resources


Toronto Zoo programs


Earth Rangers eco-activities


Exploring by The Seat of Your Pants



"
25,2020-04-21,http://news.ontario.ca/opo/en/2020/04/ontario-providing-additional-relief-to-the-provinces-most-vulnerable.html,Ontario Providing Additional Relief to the Province's Most Vulnerable,"
Ontario Providing Additional Relief to the Province's Most Vulnerable
Funding and services will help seniors and people with disabilities during the COVID-19 outbreak

April 21, 2020  1:00 P.M.

Office of the Premier


TORONTO — The Ontario government is delivering much-needed support to Ontario's most vulnerable citizens, including seniors and persons with disabilities, during the outbreak of COVID-19. The province is investing $11 million to help deliver meals, medicines and other essentials to those in need and doubling the Guaranteed Annual Income System (GAINS) payments.
Today's announcement was made by Premier Doug Ford, Christine Elliott, Deputy Premier and Minister of Health, Dr. Merrilee Fullerton, Minister of Long-Term Care, and Todd Smith, Minister of Children, Community and Social Services.   ""As we face some of the darkest times in our province's history, we have a duty to protect and care for the most vulnerable in our society,"" said Premier Ford. ""Our seniors and people with disabilities are the most at risk during this crisis, and we must go above and beyond to ensure they get financial relief, food, medicine and other essentials without delay."" The province is working with the Ontario Community Support Association (OCSA) to launch a new Ontario Community Support Program to expand existing Meals on Wheels services to reach low-income seniors and people with disabilities and chronic medical conditions across Ontario. The program will also develop the capacity of community organizations and others to help deliver medication and other essentials. ""We know that the best way we can all take care of ourselves during this outbreak is to stay home,"" said Raymond Cho, Minister for Seniors and Accessibility. ""For older Ontarians and people with disabilities, this may be especially challenging. That is why I am so proud to see the Ontario Spirit being demonstrated by the volunteers, local not-for-profit organizations, charities and businesses that are helping our most vulnerable through the Ontario Community Support Program."" This week the province will also be issuing the first doubled Guaranteed Annual Income System (GAINS) payments. Individuals will receive up to $166 per month and couples will receive up to $332 per month. These doubled payments will continue for six months and provide an additional $75 million to 194,000 vulnerable seniors who may need more help to cover essential expenses during the COVID-19 outbreak. ""As part of Ontario's Action Plan: Responding to COVID-19, we are investing $3.7 billion to provide immediate and direct support to Ontario's people and employers. It starts with those most in need,"" said Rod Phillips, Minister of Finance. ""For our vulnerable seniors, we will double the Guaranteed Annual Income System payment for six months. That will ensure 194,000 of our lowest income seniors will have some extra support during these unprecedented times. The first payment will start to arrive this week and assist low income seniors with their essential expenses when they need it most."" The province is investing $40 million in the Residential Relief Fund. The funding will assist developmental services, child welfare, victims shelters, and organizations delivering social services to vulnerable First Nations individuals and families with COVID-related costs, such as the purchase of personal protective equipment (PPE) and enhanced staffing. In addition, the government is providing $148 million to municipal partners that administer social services with funding to support the province's most vulnerable as part of the province's $200 million in social services relief funding in response to COVID-19. ""Our government is taking decisive action to protect the health and safety of our most vulnerable populations,"" said Todd Smith, Minister of Children, Community and Social Services. ""If you have a friend or neighbour who is a senior or a person with a disability, please reach out to them to ensure they have what they need and are doing okay during this very difficult period.""

Quick Facts

The Ontario Community Support Program will serve low-income seniors and people with disabilities in need such as those in supportive housing environments or community-based independent living programs.
To identify a Meals on Wheels provider in the local community and request service, visit www.ontariocommunitysupport.ca. Those without Internet access or who require service in a language other than English or French, can dial 211 or 1-877-330-3213 (toll free). TTY service is also available by calling 1-888-340-1001.
Volunteer organizations can now visit www.sparkontario.ca to post volunteer opportunities available in their communities. Ontarians interested in volunteering are also encouraged to check the website for opportunities to make a difference where they live.
GAINS provides a monthly, non-taxable benefit to low-income Ontario seniors. These payments are provided on top of the federal government’s Old Age Security pension and federal Guaranteed Income Supplement payments to ensure seniors have a minimum income level. 
Payments are being automatically doubled for current GAINS recipients ― no additional applications are required. Payments are issued on the 25th of each month, or the first business day prior if the 25th falls on a non-business day.
Ontario recently announced $200 million in social services relief funding to help the province’s most vulnerable. 
Learn about how the government is supporting people, businesses and families during COVID-19 by visiting www.ontario.ca/coronavirus.


"
26,2020-04-20,http://news.ontario.ca/opo/en/2020/04/premier-doug-ford-commemorates-yom-hashoah.html,Premier Doug Ford Commemorates Yom HaShoah,"
Premier Doug Ford Commemorates Yom HaShoah


April 20, 2020  3:00 P.M.

Office of the Premier


Today, Premier Doug Ford issued the following statement to mark Yom HaShoah:
""At sundown, the people of Ontario and the Jewish community across the province and around the world will remember one of the darkest periods in human history. Yom HaShoah commemorates the lives and heroism of Jewish people who were brutally murdered by the Nazi regime during the Second World War. We must never forget the millions of women, children and men who lost their lives in the Holocaust. What took place during the Holocaust must never be repeated. We remember not only the atrocities, but also the many heroes and survivors, so that we can learn from the past and educate future generations. As survivors age, we must renew our commitment to remember the past and to vigilantly keep the promise - never again. We recognize the many contributions of the Jewish community to our province, while renewing our commitment to fight anti-Semitism and hate in all its forms. I want to thank MPPs Will Bouma and Robin Martin for leading a private members' bill to officially adopt the International Holocaust Remembrance Alliance definition of anti-Semitism. We are stronger when we stand together. Ontario will always promote a society that respects diversity and freedom.""
"
27,2020-04-20,http://news.ontario.ca/opo/en/2020/04/health-experts-say-the-covid-19-outbreak-has-likely-peaked-in-ontario.html,Health Experts Say the COVID-19 Outbreak Has Likely Peaked in Ontario ,"
Health Experts Say the COVID-19 Outbreak Has Likely Peaked in Ontario 
Modelling shows physical distancing still needed to prevent further spread

April 20, 2020 12:00 P.M.

Office of the Premier


TORONTO — The Ontario government today released updated COVID-19 modelling, which shows that the enhanced public health measures, including staying home and physically distancing from each other, are working to contain the spread of the virus and flatten the curve. However, the Chief Medical Officer of Health says emergency measures must remain in place to continue reducing the number of cases and deaths.
""The modelling clearly demonstrates that we are making progress in our fight against this deadly virus. That's due to the actions of all Ontarians, those who are staying home and practising physical distancing, and to the heroic efforts of our frontline health care workers,"" said Premier Doug Ford. ""But COVID-19 continues to be a clear and present danger, especially to our seniors and most vulnerable citizens. That is why we must continue to follow the advice of our Chief Medical Officer of Health and stay the course in order to keep people safe and healthy."" Key highlights from the modelling update include: The wave of new community spread cases of COVID-19 in Ontario appears to have peaked.Outbreaks in long-term care and congregate settings continue to be a major concern. Concerted actions are underway to protect vulnerable people in these settings.Ontario is now trending toward a best case scenario rather than a worst case scenario and has significantly improved its standing as compared to March modelling.The province has avoided a significant surge in cases. Total cumulative cases are forecast to be substantially lower than worst case or even moderate case scenarios projected by previous models.While several hundred new cases are identified daily in Ontario, hospitals across the province have not been overwhelmed by the COVID-19 outbreak as a result of capacity planning and the public health measures currently in place. The rate of growth day-over-day is declining.To further reduce the number of cases and deaths, it remains critical that Ontarians continue to adhere to public health measures, including staying home and practicing physical distancing if they must go out for essential reasons only.""The information released today shows early but unmistakable signs that our efforts are working,"" said Christine Elliott, Deputy Premier and Minister of Health. ""These numbers are not an accident. They are the result of months of planning and collective action to stop the spread of COVID-19 and flatten the curve. However, in order for these projections to become reality, each of us must continue to stay home as much possible and practise physical distancing."" To enhance protections for residents and staff in long-term care homes, last week Ontario launched the COVID-19 Action Plan: Long-Term Care Homes. This action plan will ensure the implementation of critical new measures to prevent further outbreaks and deaths from COVID-19 in long-term care homes. These measures include enhancing and expanding testing for symptomatic and asymptomatic contacts of confirmed cases; providing public health and infection control expertise; and redeploying staff from hospitals and home and community care to support the long-term care home workforce. ""The new province-wide modelling data are encouraging, but we know that long-term care homes and other congregate settings will track on a different path,"" said Dr. Merrilee Fullerton, Minister of Long-Term Care. ""We will continue to take aggressive action to support our most vulnerable residents and their caregivers.""

Quick Facts

All Ontarians need to stay home unless absolutely necessary for essential trips, such as accessing health care services, groceries, picking up prescriptions or supporting vulnerable community members with meeting essential needs. If you must leave your home, go alone and stay at least two metres apart from others.
Ontario has made improvements to its COVID-19 Self-Assessment Tool by expanding its symptom list, addressing the most high risk individuals, and making it more accessible and responsive. 
Take these everyday steps to reduce exposure to COVID-19 and protect your health: wash your hands often with soap and water or alcohol-based hand sanitizer; sneeze and cough into your sleeve; avoid touching your eyes, nose or mouth; avoid contact with people who are sick; stay home if you are sick.




Additional Resources


COVID-19: Modelling and Potential Scenarios


Ontario’s Action Plan: Responding to COVID-19


									Visit Ontario's website to learn more about how the province continues to protect Ontarians from COVID-19.
							


"
28,2020-04-20,http://news.ontario.ca/edu/en/2020/04/government-of-ontario-reaches-final-agreement-with-osstf.html,Government of Ontario Reaches Final Agreement with OSSTF,"
Government of Ontario Reaches Final Agreement with OSSTF


April 20, 2020  9:30 A.M.

Ministry of Education


TORONTO — Today, Stephen Lecce, Minister of Education, issued the following statement after reaching a tentative agreement with Ontario Secondary School Teachers' Federation (OSSTF) and the Ontario Public School Boards' Association (OPSBA), and the OSSTF Education Workers and the Council of Trustees' Associations (CTA):
""Our priority has always been to reach good deals with teachers' and education workers' unions, that advance the priorities of students and parents. That is exactly what we have done by reaching deals with every education union in this province. During this entire process, our aim was to ensure our young people receive the best education we can offer, so they can develop the skills they need to succeed in the classroom and in the jobs of the future. We will remain focused on the government's dual priority of keeping students safe while ensuring the continuity of education. Moreover, we remain determined to continuously strengthen teacher-led learning and virtual learning for the benefit of our students, and we continue to look to our educators to rise to the challenge and deliver quality education to every child, wherever they may live.""

Quick Facts

Parents still have time to apply for Support for Parents, financial support provided to parents for each day of school or child care their child missed on account of a labour disruption.


"
29,2020-04-18,http://news.ontario.ca/opo/en/2020/04/province-calls-for-innovative-solutions-to-combat-covid-19.html,Province Calls for Innovative Solutions to Combat COVID-19,"
Province Calls for Innovative Solutions to Combat COVID-19
Ontario Investing $20 Million to Advance Medical Research

April 18, 2020  1:00 P.M.

Office of the Premier


TORONTO — The Ontario government is investing $20 million to advance medical research and develop tools and resources to combat COVID-19 and other infectious diseases through the Ontario COVID-19 Rapid Research Fund. The government is calling on all of the province's world-class research institutions, postsecondary institutions, and non-profit scientific partners to take action in the development of innovative solutions to track and defeat COVID-19.
The announcement was made today by Premier Doug Ford and Ross Romano, Minister of Colleges and Universities. The investment is part of Ontario's Action Plan: Responding to COVID-19. ""We have some of the best and brightest minds anywhere in the world right here in Ontario,"" said Premier Ford. ""Whether it's developing a vaccine, using 3-D printers to make personal protective equipment or designing better portable ventilators, our brilliant researchers are leading the charge in the fight against COVID-19 and giving our frontline health care workers the tools and resources they need to deliver top-notch care for patients."" Ontario's postsecondary education sector and research community has already taken on a leadership role to combat COVID-19. Colleges and universities, research hospitals and institutes across the province have stepped up to support their local communities by donating lifesaving ventilators, personal protective equipment and conducting invaluable research on detection and treatment. ""Our province, our country and the entire world face an unprecedented situation, and the innovation and expertise of our research community is needed now more than ever,"" said Minister Romano. ""We need to continue mobilizing people and ideas and leveraging our top talent in this global effort to find a solution to this crisis and keep people safe."" Ontario researchers are encouraged to submit proposals through the new Ontario Together website. This portal was established to locate or manufacture emergency products and identify immediate and innovative solutions to help support the province's response to COVID-19. The website also includes an option for research institutions, in addition to individuals, corporations and other entities, to submit ideas about how to expand health care capacity and knowledge, better utilize artificial intelligence, and build Ontario's current and future supply chain capacity. Research submissions through the Ontario Together portal will be accepted until April 24, 2020. ""When we launched Ontario Together on March 21st, our province's medical technology and pharmaceutical companies quickly stepped up to offer made-in-Ontario solutions in the fight against COVID-19,"" said Vic Fedeli, Minister of Economic Development, Job Creation and Trade. ""This incredible response demonstrates the strength of the Ontario Spirit in our business community and world-class manufacturing and life sciences sectors."" The province is particularly interested in proposals that are highly feasible with achievable results within one year or a maximum of two years. 

Quick Facts

A diverse field of COVID-19 research will be eligible for funding and may include, but is not limited to, researching the COVID-19 strain, developing a vaccine, enhancing testing procedures, or improving modelling tools to help track the virus.
Researchers are encouraged to contact their institutions for further details.
In response to the COVID-19 outbreak, the Ministry of Colleges and Universities is supporting researchers currently conducting Ontario Research Fund and Early Researcher Award projects by allowing salary payments, changing reporting deadlines and extending projects that would have otherwise been completed before March 31, 2021.
Ontario is developing a new platform, the Pandemic Threat Response (PANTHR), to provide secure and anonymized health data that will allow researchers to better support health system planning and responsiveness, including the immediate need to analyze the current COVID-19 outbreak.
Postsecondary institutions have donated hundreds and thousands of items, including personal protective equipment and ventilators.
Ontario is combatting COVID-19 by working with colleges to get trained paramedic students into the workforce to support frontline health care workers. Colleges will provide training opportunities and a streamlined path to early graduation and practice for paramedic students with valuable skills needed by the health care sector.



Additional Resources


									Visit the Ontario Together website to learn more about submitting a research proposal to combat COVID-19.
							

									Read more about the province’s Ontario Together initiative.
							

									Visit Ontario's website to learn more about how the province continues to protect Ontarians from COVID-19 or to take a self assessment.
							



Quotes


“Ontario Universities appreciate the government’s investment in research that will help detect, manage and combat the spread of COVID-19. Working with hospital partners, our university researchers were the first to isolate the virus. This type of ground-breaking research, along with other work currently underway at universities across Ontario, will contribute to the global understanding of COVID-19, ultimately leading to better solutions that will address the current crisis and support Ontario's economic recovery.”

											David Lindsay
									

										President and CEO, Council of Ontario Universities
									




“Ultimately, it will be science that defeats COVID-19. Ontario is home to some of Canada’s leading scientific talent and the OHA welcomes the government’s important investment in research. Ontarians, Canadians, and the broader global community will benefit from research conducted right here in the province.”

											Anthony Dale
									

										President and CEO, Ontario Hospital Association
									



"
30,2020-04-17,http://news.ontario.ca/mnr/en/2020/04/careless-hunting-violations-prove-costly-for-two-ontario-men.html,Careless Hunting Violations Prove Costly for Two Ontario Men,"
Careless Hunting Violations Prove Costly for Two Ontario Men


April 17, 2020  4:30 P.M.

Ministry of Natural Resources and Forestry


The Ministry of Natural Resources and Forestry would like to remind hunters that it is illegal and unsafe to discharge a firearm down, from or across public roads. Hunters are also reminded they must handle firearms with reasonable consideration for people and property.
Following an investigation, two men have been convicted of firearms offences and possessing illegally killed wildlife in the Bancroft area. On November 12, 2019, conservation officers from the Bancroft Enforcement Unit located evidence of recent deer hunting activity while conducting a patrol in Carlow Township of Hastings County. An investigation determined that earlier that day two men had harvested two deer near Hass Road, and that both men discharged their firearm across the road. On March 3, 2020, both men pleaded guilty to charges under the Fish and Wildlife Conservation Actin Bancroft Provincial Offences Court, before Justice of the Peace Ernest Parsons. Brandon Bellis of Foxboro was fined $3,000 for discharging a firearm without reasonable consideration for people or property and $500 for possessing illegally killed wildlife. He also received a one-year hunting suspension and must successfully retake the Ontario Hunter Education Course before he can hunt again. Eric Mclennan of Campbellford was fined $3,000 for discharging a firearm without reasonable consideration for people or property and $500 for possessing illegally killed wildlife. He also received a one-year hunting suspension and must successfully retake the Ontario Hunter Education Course before he can hunt again. The seized deer was donated to a local charity. Conservation officers continue to patrol and protect our natural resources during the COVID-19 outbreak and would like to remind everyone that by respecting seasons, sanctuaries, bag and possession limits we all help ensure our natural resources stay healthy. Visit Ontario's website to learn more about how the province continues to protect Ontarians from COVID-19. To report a natural resource violation or provide information about an unsolved case, members of the public can call the ministry TIPS line toll free at 1-877-847-7667 or contact your local ministry office. You can also call Crime Stoppers anonymously at 1-800-222-TIPS. For more information about unsolved cases, please visit ontario.ca/mnrftips.
"
31,2020-04-17,http://news.ontario.ca/omafra/en/2020/04/canada-and-ontario-supporting-agri-food-sector-supply-chain-during-covid-19.html,Canada and Ontario Supporting Agri-food Sector Supply Chain During COVID-19,"
Canada and Ontario Supporting Agri-food Sector Supply Chain During COVID-19
$1 million in new funding to support efforts that match employers with job-seekers

April 17, 2020  4:00 P.M.

Ministry of Agriculture, Food and Rural Affairs


TORONTO — The governments of Canada and Ontario are investing up to $1 million in new funding to connect workers with in-demand jobs in the agri-food sector to keep the nation's supply chains strong and store shelves stocked during the COVID-19 pandemic.
Through the Canadian Agricultural Partnership (the Partnership), the federal and provincial governments will provide support that will help people connect with job opportunities in the sector quickly. This program would help primary agriculture, food processing companies and grocery retail to recruit and train workers who are important to keeping the essential food supply chain functioning. ""The women and men who work on farms, in processing plants and throughout the food production chain, are doing an essential service for us during this critical time and we are thankful for their dedication and hard work,"" said the Honourable Marie-Claude Bibeau, federal Minister of Agriculture and Agri-Food. ""There is a strong need for workers on Canadian farms and in food processing businesses right now and our Government is taking concrete actions to find solutions, including through this new initiative, to ensure that Canadians continue to have high-quality food on their grocery store shelves and kitchen tables."" ""This is a very labour-intensive sector so it is critical to attract more people to ensure our food supply chain continues to provide healthy and nutritious food to Ontario families during this COVID-19 outbreak,"" said the Honourable Ernie Hardeman, Ontario Minister of Agriculture, Food and Rural Affairs. ""Our government is doing everything possible to ensure we support our farmers and food processors to fill job vacancies, including the development of a new web portal connecting workers with employers."" Through the Partnership's Place to Grow: Agri-Food Innovation Initiative, the Ontario Ministry of Agriculture, Food and Rural Affairs (OMAFRA) will immediately accept applications and will expedite the approval process to help address sector labour concerns quickly. Since June 2018, both the federal and provincial governments have committed support to approximately 2,500 projects, through the Partnership, to help eligible Ontario farmers, processors, businesses and sector organizations innovate and grow.

Quick Facts

Funding will be cost-shared by the Province.
The intake is provided under the Place to Grow: Agri-Food Innovation Initiative – Addressing Labour Supply and Training Challenges project category.
The Partnership is a five-year, $3-billion commitment by Canada's federal, provincial and territorial governments that supports Canada's agri-food and agri-products sectors.
This targeted intake will begin accepting applications on April 17, 2020. Eligible applications will be received and assessed on a continuous basis, while funding is available.
More information about this targeted intake and the program guidelines can be found online at: http://omafra.gov.on.ca/english/cap/labour_supply_training.htm or by calling: 1-877-424-1300.
This programming follows Ontario’s recent establishment of an online portal to help link agri-food sector employers with people interested in being a part of government’s response to COVID-19.
OMAFRA delivers cost-share funding under the Place to Grow program.
The Ontario agri-food sector supports more than 837,000 jobs in Ontario and contributes more than $47.5 billion each year to the province’s economy.



Additional Resources


The Canadian Agricultural Partnership in Ontario


Agriculture and Agri-Food Canada


Ontario Ministry of Agriculture, Food and Rural Affairs


									Visit Ontario's website to learn more about how the province continues to protect Ontarians from COVID-19 or to take a self assessment.
							


"
32,2020-04-17,http://news.ontario.ca/edu/en/2020/04/ontario-establishes-key-partnerships-to-make-home-learning-more-accessible.html,Ontario Establishes Key Partnerships to Make Home Learning More Accessible,"
Ontario Establishes Key Partnerships to Make Home Learning More Accessible
iPad Devices with Free Rogers Wireless Data Will Support Learning at Home 

April 17, 2020  1:30 P.M.

Ministry of Education


TORONTO — The Ontario government has partnered with Rogers Communications and Apple to help meet the educational needs of students and families during the COVID-19 outbreak. iPad devices are being purchased and distributed by Ontario school boards, pre-equipped with free Rogers LTE wireless data. Apple is providing ongoing support in French and English to teachers, parents and students, with a collection of resources to support learning and working from home.
""This important partnership will enable students to learn while making technology accessible for those that truly need it,"" said Stephen Lecce, Minister of Education. ""Our government is committed to ensuring equitable access to education, so that every child - irrespective of ability, geography or socio-economic circumstance - can continue their learning while schools are closed."" This week, Ontario school boards began distributing iPad devices to students who don't have either the technology or the Internet they need to access the Learn at Home program.  To date, over 21,000 will be sent to the homes of families in need. The free Rogers wireless data will be available until the end of June.   Also, Apple is providing videos, apps and books to help teachers build engaging lessons for students at home, along with fun and creative activities that kids and families can do with the built-in features of the iPad device. Apple is also offering teachers free one-to-one virtual coaching by Apple Professional Learning Specialists. In addition to providing free wireless data, Rogers is also working with Ontario school boards to provide high-speed, low-cost Internet to subsidized tenants and members of housing partners across Ontario through its Connected for Success program, as well as the Government of Canada Connecting Families initiative.  The Province has accelerated the delivery of broadband Internet access, currently on track to be in every high school in Ontario by September 2020 and elementary school by September 2021.  ""With this collaboration and commitment to ongoing support for remote learning, our school boards, Apple and Rogers clearly demonstrate the Ontario spirit and the incredible ability to overcome any obstacle for our kids,"" said Minister Lecce. ""For some of the most vulnerable members of our society, accessing online learning tools at home is an added burden at a time when there is already a lot of stress,"" said Dean Prevost, President, Rogers for Business. ""Rogers is pleased to be working alongside the Ontario Government, Apple and school boards across the province to help close the digital divide for some of our most vulnerable young people and their families.""

Quick Facts

Ontario’s Ministry of Education has collaborated with educators, school boards, Apple and Rogers to support the Learn at Home program with an iPad and integrated wireless remote learning solution to help meet the educational needs of our province’s families.
Working with Apple and Rogers, Ontario school boards now have access to affordable solutions with the iPad device, which is the most secure device for education that’s also easy to use, and to manage and deploy — so that no student is left behind while schools are closed due to the ongoing COVID-19 situation.
iPad devices will be purchased and distributed by Ontario school boards, pre-equipped with Rogers LTE wireless data. Rogers is providing this plan at no cost for the balance of the school year (until June 30, 2020). Students and families do not need to contact Rogers to set the devices up.
School boards will determine requirements for student eligibility to receive an iPad.
In addition, Rogers is allowing eligible households to sign up for high-speed Internet with no overage fees for $9.99 monthly.



Additional Resources


Learn at Home


Support for Families



"
33,2020-04-17,http://news.ontario.ca/opo/en/2020/04/ontario-offers-emergency-child-care-to-more-frontline-staff.html,Ontario Offers Emergency Child Care to More Frontline Staff,"
Ontario Offers Emergency Child Care to More Frontline Staff
Expansion Will Assist Essential Workers During the COVID-19 Outbreak

April 17, 2020  1:00 P.M.

Office of the Premier


TORONTO ― The Ontario government is expanding the list of essential workers eligible to receive emergency child care. This will help additional frontline staff during the COVID-19 outbreak. An emergency order was issued which will offer support to those providing a variety of critical services including people who assist vulnerable communities, emergency response and law enforcement sector staff, more health and safety workers, and certain federal employees.
The announcement was made today by Premier Doug Ford and Stephen Lecce, Minister of Education. ""Our frontline workers have made so many sacrifices and put the needs of the community ahead of themselves,"" said Premier Ford. ""These heroes work day-in and day-out to ensure everyone else can stay home and stay safe and healthy. The least we can do is ensure the safety of their children during these unprecedented times."" On March 20, 2020, the government issued an emergency order directing certain child care centres to reopen with fewer children to allow for physical distancing. This decision was made to support health care and other frontline workers responding to the COVID-19 outbreak. The list of essential workers eligible to access emergency childcare has now been expanded. ""Our frontline workers are making a real difference in our lives and deserve our support,"" said Stephen Lecce, Minister of Education. ""We are providing emergency child care to more frontline workers because in these unprecedented times, we will do whatever it takes to keep families safe, cared for, and healthy."" ""Dedicated people are on the frontlines, serving our most vulnerable in developmental services agencies, in residential care homes,"" said Todd Smith, Minister of Children, Community and Social Services. ""We need to support them by making sure their families are taken care of when they go to work."" The additional frontline workers who can now access emergency childcare services include: Staff working in developmental services, victim services, violence against women services, anti-human trafficking services and child welfare services (children's aid societies) and in children's residential settings;Additional staff identified by the Ministry of the Solicitor General, including:First Nations constables;Office of the Fire Marshal and Emergency Management fire investigators;Select critical staff in community corrections, such as probation and parole officers;Contractors in institutional corrections services;Frontline staff at the Provincial Forensic Pathology Unit;Critical staff at the Centre of Forensic Sciences; andCritical staff operating the Provincial Emergency Operations Centre.Staff working in shelters (e.g., serving homeless populations);Power workers;Pharmaceutical and medical supplies and device manufacturing workers;Non-municipal water and waste-water employees; andFederally employed staff including Royal Canadian Mounted Police (RCMP), Canada Border Services Agency (CBSA) officers and Canada Post employees. ""By ensuring staff who support some of our most vulnerable, including survivors of domestic violence, victims of human trafficking, and children and youth in care, have access to emergency child care, we can continue to provide these important services throughout the COVID-19 outbreak,"" said Jill Dunlop, Associate Minister of Children and Women's Issues. The Ontario Ministry of Education is working with Consolidated Municipal Service Managers (CMSM) and District Social Services Administration Boards (DSSAB) in their role as service system managers for early years and child care, as well as First Nations, to implement emergency child care centres in communities across the province. Ontario will continue to monitor local needs to ensure frontline staff can continue to work and will communicate more details as the situation evolves. A list of emergency child care centres is available on Ontario.ca/coronavirus.

Quick Facts

The need for child care spaces could grow by an estimated 11,300 during the eligibility expansion.
Since emergency child care was introduced last month, there are 74 child care centres up and running and home child care is being provided by 33 Licensed Home Child Care Agencies in communities across the province. 41 additional centres have also been approved and will be coming online in the coming days.
On April 14, 2020, the government issued an emergency order to give violence against women and anti-human trafficking agencies who deliver emergency residential services greater flexibility to address staffing challenges arising from the COVID-19 outbreak.



Additional Resources


Child care for health care and frontline staff


Province Takes Steps to Ensure Frontline Staff Can Continue to Work


Support for Families


									Visit Ontario's website to learn more about how the province continues to protect Ontarians from COVID-19.
							


"
34,2020-04-17,http://news.ontario.ca/opo/en/2020/04/ontario-takes-further-action-to-protect-vulnerable-people-from-covid-19.html, Ontario Takes Further Action to Protect Vulnerable People from COVID-19,"
 Ontario Takes Further Action to Protect Vulnerable People from COVID-19
 Province makes it easier to reassign staff where they are needed most

April 17, 2020  7:00 A.M.

Office of the Premier


TORONTO — To help stop the spread of COVID-19 among the province's most vulnerable citizens and ensure frontline services can continue to be delivered in priority areas, the Ontario government has issued new temporary emergency orders under the Emergency Management and Civil Protection Act.
""Every day, incredible sacrifices are being made by frontline workers in every region of the province to care for our most vulnerable citizens,"" said Premier Doug Ford. ""In order to better protect our seniors, people with various abilities, and the homeless population, along with our heroic frontline workers, our government is adopting emergency measures to provide flexibility in a variety of staffing arrangements to help stop the spread of this terrible virus."" The Emergency Measures issued to further protect vulnerable people during the COVID-19 outbreak include: Restricting retirement home employees from working in more than one retirement home, long-term care home or health care setting, with compliance required by April 22, 2020;Providing Local Health Integration Networks with the ability to direct home care service provider organizations to safely reassign frontline staff to areas where they are most needed, including home and community care settings, long-term care homes, supportive housing, retirement homes and hospitals;Providing municipalities and District Social Service Administration Boards with the flexibility to offer reassignments to certain staff to where there is local need during the outbreak, including child care, by-law enforcement, and public health services. ""We have heard the concerns of our municipal partners and are taking action to ensure they have the support they need to help their communities during the outbreak to address local needs,"" said Steve Clark, Minister of Municipal Affairs and Housing. ""Today our government is taking further action to protect both the residents and staff of retirement homes. The health and safety of retirement home residents is of the utmost importance,"" said Raymond Cho, Minister for Seniors and Accessibility. ""We must stop the spread of COVID-19 and we must do everything we can to protect retirement home residents and staff."" In order to ensure there are enough paramedics and emergency medical attendants, ambulance services will have the flexibility to hire and assign college students who have not yet completed exams or graduated, to provide services appropriate to their competence level and scope of practice. ""We continue to take decisive action to contain the virus and support our heroic frontline workers during this challenging time,"" said Christine Elliott, Deputy Premier and Minister of Health. ""Expanding the capacity of our health care workforce will support their incredible efforts to provide patients with the care they need."" With the new staffing flexibility measures, municipalities or District Social Services Administration Boards will determine where there is a local need for staffing to deliver particular services. These employers have to comply with all provincial orders, as well as any guidance and safety standards prescribed by the Ontario government for COVID-19. They are also responsible for ensuring that any staff reassigned to the new duties have the required training and skills. ""During this critical time, our local delivery partners need the flexibility to be able to respond quickly and effectively to maintain essential frontline services,"" said Todd Smith, Minister of Children, Community and Social Services. ""We will continue to face these challenges together as we work to protect the health and safety of all Ontarians.""

Quick Facts

As announced on April 15, Ontario is restricting long-term care staff from working in more than one long-term care home, retirement home or health care setting to help stop the spread of COVID-19 between facilities.
Local Health Integration Networks are responsible for arranging in-home or school health and social services, and for processing placements in long-term care facilities for individuals who can no longer remain in their own homes.



Additional Resources


									Visit Ontario’s website to learn more about how the province continues to protect Ontarians from COVID-19  or to take a self assessment.
							

									The COVID-19 Action Plan: Long-Term Care Homes outlines the steps that the government is taking to protect residents and staff in long-term care homes.
							

									Ontario has launched an online portal to match available health care workers with employers.
							


"
